KOD	NAME
01	ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
02	СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
03	ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
04	ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
05	УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
06	СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
07	ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
08	СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
NN	НЕИЗВЕСТНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
